iter	Passed	Remaining
249	11226	33679
250	11285	33675
251	11333	33640
252	11376	33589
253	11421	33544
254	11466	33499
255	11510	33453
256	11554	33403
257	11595	33347
258	11638	33298
259	11678	33239
260	11722	33190
261	11764	33139
262	11808	33090
263	11848	33031
264	11891	32982
265	11932	32925
266	11974	32872
267	12016	32819
268	12056	32763
269	12097	32707
270	12141	32660
271	12183	32609
272	12226	32559
273	12286	32554
274	12333	32516
275	12376	32466
276	12422	32423
277	12468	32382
278	12510	32329
279	12551	32274
280	12595	32228
281	12639	32182
282	12681	32128
283	12723	32076
284	12762	32019
285	12803	31963
286	12844	31910
287	12888	31863
288	12929	31809
289	12971	31756
290	13012	31704
291	13053	31649
292	13095	31598
293	13138	31551
294	13181	31501
295	13230	31466
296	13286	31448
297	13330	31403
298	13375	31358
299	13420	31314
300	13462	31264
301	13506	31217
302	13553	31177
303	13599	31136
304	13645	31094
305	13690	31049
306	13735	31005
307	13776	30953
308	13817	30900
309	13859	30848
310	13899	30793
311	13941	30743
312	13985	30697
313	14027	30646
314	14071	30599
315	14112	30547
316	14154	30496
317	14200	30454
318	14257	30437
319	14307	30403
320	14351	30357
321	14393	30307
322	14436	30257
323	14475	30202
324	14519	30155
325	14562	30107
326	14607	30064
327	14650	30015
328	14693	29966
329	14735	29917
330	14777	29867
331	14817	29812
332	14859	29763
333	14902	29716
334	14945	29667
335	14986	29616
336	15027	29564
337	15069	29514
338	15109	29460
339	15151	29412
340	15196	29368
341	15252	29345
342	15306	29319
343	15351	29274
344	15390	29219
345	15433	29172
346	15473	29118
347	15513	29065
348	15557	29019
349	15598	28968
350	15642	28922
351	15683	28872
352	15728	28828
353	15773	28784
354	15817	28739
355	15861	28692
356	15901	28641
357	15944	28592
358	15983	28539
359	16028	28494
360	16072	28449
361	16115	28403
362	16157	28352
363	16202	28310
364	16261	28290
365	16310	28253
366	16355	28209
367	16398	28162
368	16441	28116
369	16482	28064
370	16523	28013
371	16567	27969
372	16610	27921
373	16652	27872
374	16694	27823
375	16738	27778
376	16779	27729
377	16823	27682
378	16863	27630
379	16906	27585
380	16948	27535
381	16990	27487
382	17028	27431
383	17069	27381
384	17106	27326
385	17147	27276
386	17194	27236
387	17256	27218
388	17308	27187
389	17355	27145
390	17399	27100
391	17442	27053
392	17486	27007
393	17525	26955
394	17568	26908
395	17610	26860
396	17650	26809
397	17695	26764
398	17739	26719
399	17785	26678
